-1.767 0.38363 2
-6.726 -4.0492 2
-0.22038 -0.98075 1
-1.5749 2.6693 0
-2.633 -4.7374 2
-3.5992 1.2065 0
-2.5299 -3.3814 2
-4.4906 0.54938 1
-0.56843 -5.0566 0
3.443 -4.0595 2
-1.0986 -3.8255 2
2.2897 -3.4512 0
-1.6885 -5.1616 1
-6.2852 -0.45049 0
-1.4929 -1.9374 1
-4.0702 5.4884 0
-0.71574 -0.2868 0
3.74 -2.5012 0
-1.1954 -0.41306 1
-3.4265 -4.6438 1
-2.9935 0.73098 1
-0.58291 0.93284 1
-1.3917 3.0539 0
1.9196 0.40082 0
1.7001 -6.3202 2
-10.636 -7.027 2
-1.3934 -7.7066 2
-1.25 0.67522 0
-5.7079 1.5593 1
-3.133 -3.4085 1
-2.4125 -1.6444 2
-4.8166 -2.1013 2
-2.8143 -0.64221 2
-1.6382 3.005 1
-1.0483 4.6699 0
-2.2501 1.8789 0
-8.2792 -2.9443 2
-2.1648 -4.4213 1
-0.69198 -4.871 2
1.9003 -2.8093 1
-3.6309 -1.5255 2
-5.6541 0.88665 1
-0.34017 0.60786 2
0.85175 0.89943 0
-4.3166 -6.3278 2
-3.1529 0.73659 1
-2.2552 2.1643 0
-0.39738 4.0451 0
-1.1407 -5.8085 2
-7.4148 -7.3867 2
0.065343 1.7033 1
-3.5548 -6.3488 1
-4.475 1.621 1
-1.8731 -2.8926 1
-3.8381 -2.9576 2
-9.1427 -0.22347 1
3.285 -0.34522 0
-3.7591 3.8095 0
-6.0805 -2.2255 2
0.93453 4.6184 0
-5.8867 -7.6196 2
-2.17 -3.5102 2
-6.8086 -1.8216 2
-4.0298 -6.3618 2
-0.8166 -2.0103 1
-0.12908 -0.70043 2
-3.0918 -1.4671 1
-2.3061 -3.4637 2
-2.0829 -2.7403 2
-2.6463 2.7682 0
-2.2917 -2.405 1
-0.98073 -3.4802 0
2.209 3.0803 0
-4.329 -5.0984 2
0.054182 0.86466 1
-0.30221 -5.5289 1
4.0932 -1.3206 0
-2.2673 -2.6871 2
1.61 0.48651 0
-0.79242 5.3823 0
-6.3252 -5.0978 2
-1.5446 0.336 0
-0.002966 -3.5236 1
2.4317 -0.42651 0
-10.802 -1.6743 1
-0.69397 -4.7077 2
3.1326 1.0789 0
0.021415 3.6823 0
-4.0082 -1.9175 2
-2.0718 0.24549 1
-4.7544 1.8322 0
-1.6265 3.6434 1
-3.2156 -2.8578 2
-2.2426 -0.6841 2
0.28338 0.57295 0
-6.5974 -3.2102 2
-0.36781 -2.8348 1
-1.8222 0.31813 1
-0.98259 -1.4741 0
-2.3956 -3.8346 1
-0.55179 -0.7859 0
-0.18091 3.1991 0
-0.78098 4.5595 0
-0.91843 -3.578 2
-0.67136 -3.5335 2
-0.45331 -2.6163 0
-4.1307 1.6107 1
-5.6702 -0.98489 1
-4.5501 -0.52943 0
